SiPM 8051  (-272.125,-132.175,-22.8)
SiPM 8052  (-272.125,-116.625,-22.8)
SiPM 8053  (-272.125,-101.075,-22.8)
SiPM 8054  (-272.125,-85.525,-22.8)
SiPM 8055  (-272.125,-69.975,-22.8)
SiPM 8056  (-256.575,-178.825,-22.8)
SiPM 8057  (-256.575,-163.275,-22.8)
SiPM 8058  (-256.575,-147.725,-22.8)
SiPM 8059  (-256.575,-132.175,-22.8)
SiPM 8060  (-256.575,-116.625,-22.8)
SiPM 8061  (-256.575,-101.075,-22.8)
SiPM 8062  (-256.575,-85.525,-22.8)
SiPM 8063  (-256.575,-69.975,-22.8)
SiPM 9000  (-365.425,-54.425,-22.8)
SiPM 9001  (-365.425,-38.875,-22.8)
SiPM 9002  (-365.425,-23.325,-22.8)
SiPM 9003  (-365.425,-7.775,-22.8)
SiPM 9004  (-365.425,7.775,-22.8)
SiPM 9005  (-365.425,23.325,-22.8)
SiPM 9006  (-365.425,38.875,-22.8)
